FID,type,nombre,comuna,nombre_reg,nombre_com,Shape__Length,calle_join_key
216934,motorway_link,Salida a Ruta 5 al Sur,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,118.331536747501,SALIDA A RUTA 5 AL SUR
216935,secondary,Enlace Nebuco,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,85.9488633095171,ENLACE NEBUCO
216936,secondary_link,Enlace Nebuco,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,86.388172766808,ENLACE NEBUCO
216937,service,,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,154.244820680896,
216938,secondary_link,Enlace Nebuco,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,101.317280254378,ENLACE NEBUCO
216939,secondary,Enlace Nebuco,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,138.170533499799,ENLACE NEBUCO
216940,motorway,Autopista del Bosque,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,3829.89450110462,AUTOPISTA DEL BOSQUE
216941,unclassified,Distribuidora Rabié,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,138.202084829569,DISTRIBUIDORA RABIÉ
216942,motorway_link,Acceso a Distribuidora Rabié,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,25.1483196127808,ACCESO A DISTRIBUIDORA RABIÉ
216943,motorway_link,Acceso a Distribuidora Rabié,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,24.2820141466389,ACCESO A DISTRIBUIDORA RABIÉ
216944,secondary,Camino a Nebuco,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,1715.76750403262,CAMINO A NEBUCO
216945,motorway_link,Salida a Quillay y Nebuco,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,265.13548914999,SALIDA A QUILLAY Y NEBUCO
216946,unclassified,Distribuidora Rabié,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,1018.10727208723,DISTRIBUIDORA RABIÉ
216947,motorway_link,Salida a Ruta 5 al Norte,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,251.378067451669,SALIDA A RUTA 5 AL NORTE
216948,service,,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,288.934748276623,
